id	review_lemmas	food	interior	price	service	whole	
0	день 8 - го март проходить ,  можно и итог подводить решать написать отзыв о ресторан в который отмечать прекрасный весение праздник ,  прочитывать отзыв edik077 и Rules77777и понимать что либо мы быть вразный ресторан ,  либо у ребята что-то незаладиться но теперь о ресторан столик бронировать заранее и сделать так как предлагать администратор т е сделать предварительный заказ ,  когда прийти увидеть полностью заполненый ресторан понимать что совет мы давать действительно правильный ,  в ресторан быть человек 70 - 80 ,  тут действительно горячий блюдо можно ждать весьма долго меню достаточно разнообразный и весьма вкусный ,  я и мой друг понравиться все что мы приносить ,  а приносить мы немало обслуживание мочь и не самый лучьшее в город ,  но официант делать все что нужно должный сказать что ждать мы всеравно приходиться ,  не очень долго конечно ,  но все - же интерьер хороший ,  удобный диван очень хороший музыкальный программа и веселый ведущий в общий я оставаться довольный свой выбор ,  и то как мы проводить вечер ,  хороший ресторан ,  уютный и кухня хороший руководство и персонал спасибо	positive	positive	absence	positive	positive	
1	отмечать в этот ресторан день рождение на первый этаж в суббота вечер хотеть выражать большой благодарность прежде все руководство ресторан ,  обслуживающий персонал и конечно же тот сотрудник ,  который готовить посетитель заведение столь вкусный блюдо понравиться абсолютно весь конечно же впечатлять интерьер :  уютно и красиво стол быть шикарный мы обслуживать официант бахрам ,  спасибо он хотеть отмечать ,  что для ресторан такой уровень цена не высокий	positive	positive	positive	positive	positive	
2	для встреча с друг быть выбирать данный заведение в основной благодаря отзыв ну во-первых ,  хотеться отмечать один маленький разочарование ,  который я охватывать сразу же :  интерьер я действительно ожидать увидеть нечто больший не быть нудно расписывать что и как не так просто оставаться чувство ,  что столь интересный задумка gangster bar - а не до конец смочь реализовать черно-белый плакат ,  кирпичный стена ...  во-вторых :  встреча гость в ресторан -  отсутствовать ,  мы стоять ждать ... оглядываться ,  пара официант делать свой дело ...  не дождаться хоть какой-то внимание в наш адрес ,  подходить к близкий девушка - официант ,  и попросить посадить мы за столик ,  заказывать ранее проводить усадить далеко быть хорошо заказ принимать быстро ,  еда приносить тоже достаточно быстро ,  убирать пустой тарелка ,  бокал вовремя сам еда - название соответствовать выбирать стиль заведение хотя на дело ,  ничто особенный и не предлагать персонал улыбчивый ,  приветливый сырный тарелка оставлять желать хороший - для любитель сыр она ну просто очень мало :)  салат цезарь - тарелка капуста ,  и три тонюсенький  ( 0 , 3см )  ломтик курица ,  сухарик ,  соус из блюдо много ничто нарекание не вызывать в итог ,  хотеть сделать вывод :  соотношение цена - качество выдерживать отличный место для большой компания	both	negative	positive	both	positive	
3	хотеть поделиться свой впечатление от посещение ресторан крапива отмечать серебряный свадьба 27.08 2010 уже при первый встреча с ресторан  ( при заказ )  все понравиться хороший интерьер ,  приятный ,  воспитанный администратор светлана очень помогать при выбор меню при обслуживание банкет официант внимательно смотреть за стол чтобы не быть пустой тарелка ,  при это очень не навязчивый гость тоже оставаться очень довольный за барный стойка помогать с музыка молодой человек ,  к сожаление не знать весь имя очень советовать посещать ресторан ,  атмосфера домашний все огромный спасибо ,  еще не один раз посещать это приятный заведение и быть рекомендовать свой друг посещение крапива оставаться на весь жизнь !!!	absence	positive	absence	positive	positive	
4	добрый день быть вчера с друг в этот кафе очень понравиться огромный спасибо повар ,  очень вкусный блюдо !!!!!  заказывать бивштекс ,  нет слово как вкусно )))  готовить очень быстро и главное качественно ,  сразу чувствоваться ,  что там работать мастер свой дело спасибо огромный за хороший обслуживание ,  приятный атмосфера и гостеприимный официант надеяться еще не раз посещать этот замечательный ,  уютный место с великолепный кухня и доброжелательный персонал	positive	positive	absence	positive	positive	
5	отмечать с муж годовщина свадьба 6 ноябрь в этот заведение в целое оставаться довольный ,  особенно сервис встречать мы прямо у вход девушка ,  проводить до наш столик ,  весь персонал мы улыбаться и здороваться для цветок наш официант сергей сразу приносить ваза что касаться я ,  не мочь сказать что оно слишком разнообразный мы заказывать утка по-пекински ,  2 салат ,  свинина в кисло-сладкий соус ,  еще какой то свинина ,  кальян ,  бутылка вино и один десерт и выходить мы весь это на 5500 утка оказываться очень маленький ,  хотя мы сказать ,  что 4 человек просто объедаться и упасть =) но впринцип мы наедаться вдвоем и достатолчно вкусно свинина я не понравиться рано в другой ресторан я есть намного вкусный на мой взгляд ресторан не из дешевый ,  цена как в европейский меню и порция такой же ,  как европейский хоть оставаться неплохой впечатление ,  но снова туда не пойти ,  восторг не возникать ,  несмотря на отличный обслуживание ожидать более вкусный еда ...	both	absence	negative	positive	negative	
6	впервые побывать в этот паб совсем недавно и мочь сказать ,  что это весьма неплохой место очень понравиться интерьер  -  чисто пабовский ,  но при это ненавязчивый и комфортный атмосфера что надо  -  располагать к веселие и дружеский общение что касаться обслуживание ,  то для субботний вечер вполне приемлемый при вход мы предлагать один из немногий свободный столик ,  затем через пара минута официант приносить меню порадовать широкий выбор пиво ,  прочее алкоголь ,  а также закуска и различный блюдо на любой вкус быть удивлять такой обширный меню в паб хотя ,  возможный это даже чересчур … заказ наш мы ждать минута 20 из недочет можно отмечать забывчивость официантка  -  друг дождаться свой сигарета только после третий просьба но это можно компенсировать весьма вежливый обслуживание из заказывать понравиться пиво  –  вкусный коктейль тоже на неплохой уровень к гренок и стейк претензия нет ,  в цезарь приправа многовато а вот суша совсем разочаровывать  –  не пабовский этот блюдо все-таки в конец приходиться долго ждать счет ,  а затем еще сдача ждать минута 15 но в целое хорошо посидеть думать ,  быть часто заходить по цена ,  кстати ,  тоже нормально весь  –  средний для подобный заведение ,  не завышать как у многие	both	positive	positive	both	positive	
7	ребята ,  вы  -  хороший недавно быть небольшой дружный компания ,  понравиться абсолютно весь из меню я пробовать салат с рыба  -  ооочень вкусно ,  друг брать и холодный закуска и горячее ,  все оставаться довольный ,  действительно достойный русский кухня прекрасный ,  уютный интерьер ,  музыка просто слух радовать ...  персонал весь очень приветливый  -  и администратор и официант ,  сервис на уровень ,  абсолютно ничто не напрягать и вечер проходить на ура хоть и жить от вы не близко ,  думать ,  в гость заглядывать снова	positive	positive	absence	positive	positive	
8	зайти в ресторан первый впечатление отличный ,  но правда ,  что сразу не понравиться это то ,  что заранее заказывать столик у окно ,  но мы посадить в самый ужасный место официант очень приятный ,  не навязчивый ,  сервис отличный что касаться кухня ,  честно ,  я не понравиться ((  мясо ждать минут30 ,  если не много .... интерьер отлиный ,  персонал тоже ,  но кухня не вкусный	negative	positive	absence	both	both	
9	мы посещать этот замечательный ресторанчик поздний вечер ,  близко к полночь ,  когда уже нигде не кормить по-настоящему несмотря на плохой погода ,  мы пытаться показывать приезжать в гость родственник  ( молодожены )  весь красота наш город ,  включая белый ночь квартира  № 55 выбирать из-за расположение и график работа ,  ну и отзыв неплохой часто проезжать мимо ,  и вот выдаваться повод зайти накормить и напоить мы в этот холодный ночь замечательно вкусно не хотеться употреблять слово сервис ,  обслуживание ,  т к мы не обслуживать ,  а радушно встречать ,  очень по-домашнему помогать с заказ ,  посоветовать хороший и недорогой вино правда ,  заказ приносить не быстро ,  хотя кроме мы в ресторан быть занимать всего 2 столик и там уже человек давно сидеть ,  пить чай салат готовить минута 20 ,  потом еще ждать горячий мы скоротать время за бутылочка вино гость очень понравиться пожарский котлета и тушеный телятина я брать буженина на гриль  -  это восторг салат быть сытный и довольно вкусный ,  но как-то не запоминаться порция не огромный ,  но и не маленький ,  мы наедаться и не решаться еще взять по десерт ,  хотя официант очень советовать и хвалить их десерт так что ,  у мы быть повод прийти в квартира еще раз хотеть сказать большой спасибо ночной персонал ресторан ,  который сделать наш поздний ужин такой приятный	positive	absence	absence	both	positive	
