food,id,interior,price,service,whole
positive,160,positive,absence,negative,both
positive,161,positive,absence,negative,negative
both,162,positive,absence,both,positive
positive,163,positive,absence,positive,positive
positive,164,positive,absence,negative,positive
positive,165,positive,absence,negative,negative
positive,166,positive,absence,positive,positive
positive,167,positive,absence,positive,positive
positive,168,positive,absence,positive,positive
positive,169,absence,neutral,negative,both
positive,170,positive,positive,positive,positive
both,171,positive,absence,positive,positive
positive,172,positive,absence,positive,positive
positive,173,positive,absence,positive,positive
negative,174,absence,absence,negative,negative
positive,175,positive,absence,positive,positive
positive,176,positive,positive,positive,positive
positive,177,positive,absence,negative,positive
positive,178,positive,absence,positive,positive
positive,179,positive,absence,positive,positive
positive,180,positive,absence,positive,both
positive,181,positive,absence,positive,positive
positive,182,positive,absence,positive,positive
positive,183,positive,positive,positive,positive
positive,184,positive,absence,positive,positive
positive,185,positive,absence,both,positive
positive,186,positive,absence,positive,positive
positive,187,positive,absence,positive,positive
both,188,absence,absence,positive,both
positive,189,positive,absence,positive,positive
positive,190,positive,absence,positive,positive
positive,191,positive,absence,positive,positive
positive,192,positive,absence,positive,positive
positive,193,positive,negative,positive,positive
positive,194,positive,absence,positive,positive
positive,195,positive,absence,positive,positive
positive,196,positive,absence,positive,positive
positive,197,positive,absence,positive,positive
positive,198,positive,absence,both,positive
positive,199,positive,absence,positive,positive
positive,200,positive,absence,positive,positive
