id	review	Food	Interior	Price	Whole	Service
3976	день го март проходить итог подводить решать написать отзыв ресторан отмечать прекрасный весение праздник прочитывать отзыв edik077 Rules77777и понимать либо вразный ресторан либо ребята что-то незаладиться ресторан столик бронировать заранее сделать предлагать администратор т е сделать предварительный заказ прийти увидеть полностью заполненый ресторан понимать совет давать действительно правильный ресторан человек действительно горячий блюдо ждать весьма долго меню достаточно разнообразный весьма вкусный друг понравиться приносить приносить немало обслуживание мочь самый лучьшее город официант делать нужно должный сказать ждать всеравно приходиться очень долго интерьер хороший удобный диван очень хороший музыкальный программа веселый ведущий общий оставаться довольный выбор проводить вечер хороший ресторан уютный кухня хороший руководство персонал спасибо	positive	positive	absence	positive	positive
30808	отмечать ресторан день рождение первый этаж суббота вечер хотеть выражать большой благодарность прежде руководство ресторан обслуживающий персонал сотрудник готовить посетитель заведение столь вкусный блюдо понравиться абсолютно весь впечатлять интерьер уютно красиво стол шикарный обслуживать официант бахрам спасибо хотеть отмечать ресторан уровень цена высокий	positive	positive	positive	positive	positive
16137	встреча друг выбирать данный заведение основной благодаря отзыв во-первых хотеться отмечать маленький разочарование охватывать сразу интерьер действительно ожидать увидеть нечто больший нудно расписывать просто оставаться чувство столь интересный задумка gangster bar конец смочь реализовать черно-белый плакат кирпичный стена ... во-вторых встреча гость ресторан отсутствовать стоять ждать ... оглядываться пара официант делать дело ... дождаться какой-то внимание адрес подходить близкий девушка официант попросить посадить столик заказывать ранее проводить усадить далеко заказ принимать быстро еда приносить достаточно быстро убирать пустой тарелка бокал вовремя еда название соответствовать выбирать стиль заведение хотя дело ничто особенный предлагать персонал улыбчивый приветливый сырный тарелка оставлять желать хороший любитель сыр просто очень мало :) салат цезарь тарелка капуста тонюсенький 3см ломтик курица сухарик соус блюдо ничто нарекание вызывать итог хотеть сделать вывод соотношение цена качество выдерживать отличный место большой компания	both	negative	positive	positive	both
14031	хотеть поделиться впечатление посещение ресторан " крапива " отмечать серебряный свадьба 27.08 первый встреча ресторан заказ понравиться хороший интерьер приятный воспитанный администратор светлана очень помогать выбор меню обслуживание банкет официант внимательно смотреть стол пустой тарелка это очень навязчивый гость оставаться очень довольный барный стойка помогать музыка молодой человек сожаление знать весь имя очень советовать посещать ресторан атмосфера домашний огромный спасибо посещать это приятный заведение рекомендовать друг посещение " крапива " оставаться весь жизнь !!!	absence	positive	absence	positive	positive
2495	добрый день вчера друг кафе очень понравиться огромный спасибо повар очень вкусный блюдо !!!!! заказывать бивштекс слово вкусно ))) готовить очень быстро главное качественно сразу чувствоваться работать мастер дело спасибо огромный хороший обслуживание приятный атмосфера гостеприимный официант надеяться посещать замечательный уютный место великолепный кухня доброжелательный персонал	positive	positive	absence	positive	positive
38835	отмечать муж годовщина свадьба ноябрь заведение целое оставаться довольный особенно сервис встречать прямо вход девушка проводить столик весь персонал улыбаться здороваться цветок официант сергей сразу приносить ваза касаться мочь сказать оно слишком разнообразный заказывать утка по-пекински салат свинина кисло-сладкий соус свинина кальян бутылка вино десерт выходить весь это утка оказываться очень маленький хотя сказать человек просто объедаться упасть =) впринцип наедаться вдвоем достатолчно вкусно свинина понравиться рано ресторан намного вкусный взгляд ресторан дешевый цена европейский меню порция европейский оставаться неплохой впечатление снова туда пойти восторг возникать несмотря отличный обслуживание ожидать вкусный еда ...	both	absence	negative	negative	positive
1368	впервые побывать паб недавно мочь сказать это весьма неплохой место очень понравиться интерьер чисто пабовский это ненавязчивый комфортный атмосфера располагать веселие дружеский общение касаться обслуживание субботний вечер вполне приемлемый вход предлагать немногий свободный столик затем пара минута официант приносить меню порадовать широкий выбор пиво прочее алкоголь также закуска различный блюдо любой вкус удивлять обширный меню паб хотя возможный это чересчур … заказ ждать минута недочет отмечать забывчивость официантка друг дождаться сигарета третий просьба это компенсировать весьма вежливый обслуживание заказывать понравиться пиво – вкусный коктейль неплохой уровень гренок стейк претензия цезарь приправа многовато суша разочаровывать – пабовский блюдо все-таки конец приходиться долго ждать счет затем сдача ждать минута целое посидеть думать часто заходить цена кстати нормально весь – средний подобный заведение завышать многие	both	positive	positive	positive	both
7890	ребята хороший недавно небольшой дружный компания понравиться абсолютно весь меню пробовать салат рыба ооочень вкусно друг брать холодный закуска горячее оставаться довольный действительно достойный русский кухня прекрасный уютный интерьер музыка просто слух радовать ... персонал весь очень приветливый администратор официант сервис уровень абсолютно ничто напрягать вечер проходить " ура " жить близко думать гость заглядывать снова	positive	positive	absence	positive	positive
19027	зайти ресторан первый впечатление отличный правда сразу понравиться это заранее заказывать столик окно посадить самый ужасный место официант очень приятный навязчивый сервис отличный касаться кухня честно понравиться (( мясо ждать минут30 .... интерьер отлиный персонал кухня вкусный	negative	positive	absence	both	both
6668	посещать замечательный ресторанчик поздний вечер близко полночь нигде кормить по-настоящему несмотря плохой погода пытаться показывать приезжать гость родственник молодожены весь красота город включая белый ночь " квартира № " выбирать из-за расположение график работа отзыв неплохой часто проезжать мимо выдаваться повод зайти накормить напоить холодный ночь замечательно вкусно хотеться употреблять слово сервис обслуживание т " обслуживать ", радушно встречать очень по-домашнему помогать заказ посоветовать хороший недорогой вино правда заказ приносить быстро хотя кроме ресторан занимать столик человек давно сидеть пить чай салат готовить минута ждать горячий скоротать время бутылочка вино гость очень понравиться пожарский котлета тушеный телятина брать буженина гриль это восторг салат сытный довольно вкусный как-то запоминаться порция огромный маленький наедаться решаться взять десерт хотя официант очень советовать хвалить десерт повод прийти квартира хотеть сказать большой спасибо " ночной персонал " ресторан сделать поздний ужин приятный	positive	absence	absence	positive	both
9662	вчера компания человек " суп вино " столик бронировать заранее думать стоить делать небольшой ресторан хотеться сказать оставаться очень довольный интерьер приятный абсолютно ненавязчивый уютный высокий столик удобный музыка тихий мешать общаться меню интересный очень вкусно приемлемый цена готовиться очень быстро !!! комментарий плохой обслуживание весь старый обслуживать очень приятный молодой человек вежливый чувство юмор блюдо меняться незаметно напиток приносить сразу заказ отлично проводить время удовольствие прийти !!!	positive	positive	positive	positive	positive
18430	прошлый суббота посещать друг заведение начиться очень приятный момент т приходить туда оказываться свободный столик спустя наверное минута официант находить подходить стол целое заведение понравиться обстановка интерьер меню плюс достаточно быстро обслуживание несмотря огромный количество человек хороший атмосфера играть диджей субботний вечер большой выбор еда алкогольный напиток хотя поесть алкоголь выпивать ))) минус показываться слишком громко играть музыка отсутствие подсветка стол хотя некоторый свет ), из-за приходиться подсвечивать меню телефон наверное главный минус это большой заведение оказываться место гардероб вследствие куртка постоянно падать пол диван стол попросить депозит тыс большой компания это например оставлять тыс несмотря весь минус оставаться вполне довольный заведение думать посещать приятный мелочь конец попросить официант дисконтный карта давать лишний повод зайти воспользоваться скидка	positive	both	positive	both	positive
14190	добрый день молодой человек любить открывать новый место .. разный ресторан .. особенно итальянский многий находить рейтинг ресторан приходить весь гость сидеть терраса лето весь таки ), садиться внутри близко конждиционер )) интерьер очень уютный сидеть прямо напротив кухня пицца готовить около окно отзыв пахнуть кухня .. особо замечать .. легкий аромат пицца думать аппетит прибавлять начитываться отзыв хороший пицца взять именно оставаться очень довольный !! весь итальянский ресторан брать тирамис хлебный козинка ... заходить туалет образ ставить оценка заведение хлеб должный свежий тирам таять рот туалет должный экономить !! понравиться десерт волшебный мило посидеть окно видеть спасать кровь ... романтик официантка вежливый очень напиток приносить быстро ... ехать приходиться ждать общий большой спасибо атмосфера угощение обязательно прийти	positive	positive	absence	positive	positive
8757	добрый вечер начинать сразу ужасно понравиться отношение ресторан давненько встречать приходить компания восемь вечер забронировать столик оказываться занимать поздороваться предлагать столик весь ресторан работать официант блюдо ждать час притом компания приходить поздно подавать течение минута настроение ноль ... обещать одеяло др получать сказать предупреждать др интересно это нужно делать бронировать столик др предупреждать ?????? двоякий впечатление место ... мочь отмечать обстановка интерьер приятный еда довольно вкусный обслуживание минус хотеться оставлять чай ... это др (((((	positive	positive	absence	both	negative
32721	добрый день недавно ноябрь посещать ресторан ходить вместе родитель оставаться очень довольный плюс : - довольно приятный интерьер приглушать мягкий свет тихий музыка мешать общаться большой выбор блюдо довольно разнообразный очень быстро обслуживать сразу подавать напиток немногие поздно приносить салат успевать доедать становиться подавать горячий причем вино подавать сразу оно сильно охлаждать особенно понравиться очень порадовать кухня очень вкусно заказывать довольно разнообразный блюдо понравиться абсолютно повар отдельный спасибо поесть душа удовольствие ))) - очень удивлять порадовать счет )) человек заказывать салат вид блюдо баклажан тоф утка рыба вид мясо мелочь плюс алкоголь умеренно обходиться копейка причем порция огромный переедать )) минус : - очень понравиться зал курить т зал общий итог весь одежда провонять (( - очень понравиться туалет вроде чисто опрятно целое впечатление очень хороший вернуться	positive	both	positive	positive	positive
26022	заведение 10.09 заезжать муж работа находить труд название хороший написать настолько художественно просто разбирать )) заведение очень приятный маленький уютный это скоро кафе ресторан этаж второй намного уютно )) сразу встречать раздевать проводить размещать )) огромный спасибо гардеробщик официант бармен лицо симпатичный дружелюбный афроамериканец )) пробовать различный ролл готовить очень быстро минута особенно вкусный запекать филадельфия быд хороший понимать почему ролл ))) ценник заведение взгляд ресторанный хотя мочь это из-за ролл довольно большой целое понравиться очень большой выбор суша ролл салат суп горячий блюдо сюда пойти т место суша готовить тщательный	both	positive	negative	both	positive
2107	случайно зайти заведение друг сделать заказ сидеть улица второй этаж время проходить банкет попросить плед проходить минута плед официант сходить забирать плед чай приносить спустя минута заказ спустя минута приносить салат проходить минута приносить горячо заказ сделать х человек весь вечер друг кто-то просто ждать ) - общий блюдо получать спустя час минута заказ овощ приготавливать уголь приготавливать быстро поход муж официант порция заявлять меню явно соответствовать действительный размер порция ребенок накормить советовать никто	negative	absence	absence	negative	negative
3705	буквально день отмечать муж небольшой юбилей год выбирать романтический вечер макарен очень довольный выбор меню отменный столько решать заходить часто попробовать разный блюдо коктейль очень вкусный необычный выбирать заказывать салат язык морепродукт паэль курица кролик очень вкусно сытно порция большой объедаться отличный кальян сполна наслаждаться прекрасный молодой человек кальянщик приветливый помогать определяться выбор прогадывать красивый интерьер второй этаж окно музыка понравиться давить громкость многий заведение создавать уютный романтичный атмосфера персонал дружелюбный улыбаться постоянно подходить убирать стол предлагать оформлять накопительный скидка очень неплохо общий спасибо прекрасный вечер ваш постоянный клиент	positive	positive	absence	positive	positive
29383	суббота ноябрь знать народ заранее заказывать столик человек встреча однокурсник народ действительно столик пара человек находить ресторан выбирать соображение место возможность посидеть большой компаания весь таки знакомый место интерьер оставлять желать хороший мочь завидение это нормальный ужасно накуривать незнать счет кондиционер это учитывать ресторан детский комната детский меню хотя сделать курящий отдельный зона очень понравиться салат дора брю помидор огурец перец свежий сырой шампиньон сыр дора брю масло ), фирменный блюдо колбаска пиво подача поджигать честно думать фирменный блюдо должно солидный горячий неплохой нагриль непохожий громко играть музыка поэтому офицантка незваться неслышать блюдо заказ сидеть ждать мина оказываться оно заказывать ждать мина написать вменять время приготовление мина девушка офицантка весь время говорить это готовить быстро мочь очень замученый вид целое неплохо зайти попить пиво колбаска вечер ребенок приходить 15.00 народ мало детский праздник время	positive	negative	absence	both	negative
37505	суббота решать друг сходить повеселиться покушать выпивать ... вспомнить приятный отзыв заведение легко запоминаться имя " Amsterdam cafe " позвонить заказывать столик приезжать ... парень администратор дружелюбный встречать проводить столик проходить секунда подавать меню приятно порадовать заведение скопление народ приходиться очень долго ждать выбор пиво просто смешной сожаление предлагать сорт пиво любимый темный оказываться официант растериваться предлагать коктейль бармен отдельный спасибо угождать заказывать покушать кухня огорчать весь просто супер особенно хотеть отмечать " большой бургер амстердам " мечта детство успевать попробовать блюдо понимать вообщий понравиться кухня ди-джей караоке особенность хотеть поблагодарить персонал обслуживание хотеть сказать первый увидеть администратор помогать официант видеть администратор полагать трубка телефон подбегать стол принимать заказ забирать пустой посуда менять пепельница видно ребята работать команда делать уходить сытый отдыхать довольный немного пьяный .))) большой спасибо радушный прием ждать нетерпение следующий выходной	both	positive	absence	positive	positive
33591	отличный кафе !!!! отмечать немой день рождение друг замечательно вкусный обильный еда большой блюдо обстановка вежливый администратор александра небольшой уютный кафе очень низкий цена это учет место находиться невский проспект первый сюда ходить очень довольный очень вкусный хачапури сыр вкусный лосось кусок очень большой сытный вкусный еда весь друг решать сюда приходить говорить минус минус пожалуй внизу очень красивый антураж крайний мера очень нравиться наверное это любитель верхний этаж супер !!!! зато внизу попеть караоке ооочень вкусный кальян общий порекомендовать это место хотеть вкусно сытно очень дорого отмечать какой-нибудь праздник просто посидеть вдвоем уютный обстановка очень очень довольный !!!!	positive	both	positive	positive	positive
1666	выходной отмечать день рождение ресторан столик заказывать заранее попросить посадить уютно разочаровывать посадить именно туда хотеть интерьер очень приятный играть спокойный музыка кухня очень понравиться особенно мясо говядина руккола десерт грушевый наполеон весь гость оставаться очень довольный спасибо большой !!! обслуживание повезти попадаться милый девушка подробно рассказывать отвечать весь вопрос улыбка прийти обязательно	positive	positive	absence	positive	positive
34956	день командировка приезжать коллега работа вчетвером забредать замечательный ресторанчик каменоостровский кушать достаточно очень понравиться кухня лично заказывать котлетка лосось пюре канадский ролл общий это первый посещение данный заведение котлетка ролл пробовать приготавливать по-другому вкусный сочный показываться ролл вообще замечательный сравнение выдерживать блюдо традиционный питерский сетевой заведение японский кухня )) хотя знать корректно сравнение место суша как-то часто приходиться вопрос официант выясняться смениться шеф-повар меню менять расстройство приносить информация котлетка лосось креветка хотеть убирать менять коллега очень понравиться блюдо особенность суп рыба стейк лосось бефстроганов пюре интерьер поменяться особо изменять стиль обслуживание рано оставаться достаточно неплохой уровень общий оставаться довольный спасибо знать отзыв часто просматривать администратор выкладывать ресторан очень большой просьба пожалуйста убирать котлетка меню !!! спасибо	positive	positive	absence	positive	positive
3385	мочь рассказывать проходить банкет свадьба итак приезжать закуска готовый весь вкусно должно официантка весь делать четко бокал полный тарелка пустой время убираться второй заказывать меню заказ проходить около пол час подходить официантка сказать кухня свет делать заказ горячий уголь бракосочетание прогулка город понимать гость голодный закуска как-то смягчать желание поесть столько ждать час делать нечего весь садиться стол становиться выбирать блюдо минута сделать заказ минута становиться смешно ко подходить администратор сказать горячий уголь выполнять первоначальный заказ день испортить настроение минута стол появляться заказ равный главное накормить гость торт заказывать заранее наполеон оправдывать ожидание вкус цвет товарищ касаться интерьер очень подходить торжество удаваться поработать фотограф интерьер зал VIP рекомендовать видимо весь кухня заказывать заранее попробовать	both	positive	absence	both	both
33520	пятница отмечать свадьба ресторан т гость немного просто заказывать столик отлично проводить время хороший кухня обслуживание приятный атмосфера очень порадовать подарок шеф-повар молодой спасибо большой советовать сходить туда цена приемлемый вечер пятница суббота танцевальный шоу живой музыка	positive	positive	positive	positive	positive
8324	заведение впервые компания х человек столик весь занимать садиться проблематичный тесно место мало интерьер ... средненький изюминка подобный выходить мода год назад довольно уютно отдельно хотеть отмечать фоновый музыка хороший громкость небольшой отчетливый ), отличный просто отличный подборка музыка спасибо :) курящий улица вход стоять скамейка официант встречать усадить довольно приветливый меню небольшой выбор улучшать фаст фуд салат полноценный горячее напиток выбирать блюдо оказываться наличие напрягать самый начало время ожидание растягиваться минута !! блюдо результат приносить неравномерно гость получать салат самый конец остальной съедать суп второй порция большой подача неплохой блюдо абсолютно простой ресторанный резюме садиться сложно место мало скорость обслуживание недопустимо низкий блюдо рядовой комплекс это подходить кафе перекусить ресторан посидеть пойти	both	both	absence	negative	negative
12366	последний месяц назад час стол весь занятый заказывать суп нести долго вкусно кухня жаловаться приносить комплимент шеф повар касаться спагетти заказывать пол порция особо хотеться ресторан очень большой интерьер довольно приятный уютно огромный минус ресторан находиться улица восстание сожаление парковаться очень сложно находить место хотя поблизости причем день вечер	positive	positive	absence	both	positive
29321	привет отмечать ресторан день рождение первый понравиться вход ресторан .. проводить сразу узнавать заказывать столик второй этаж просто рай какой-то =) очень красивый интерьер нежный уютный это плюс !!! далее ... меню разнообразный любой вкус детальный рассмотрение итог останавливаться рыба лично ничто приглянуться пицца покушать специализированный место паста ... это дома сделать суп .. праздник цена вино просто бесить .. хотя мочь ресторан это нормально соотношение еда показываться дорого общий целое кухня приближать итальянский что-то супер фееричный увидеть поэтому касаемо обслуживание ... хотеть сказать претензия особа читать дальшех тарелка убираться вовремя заинтересованность особо девушка народ соседний столик сидеть большой компания ), вполне расторопный живой сидеть семером оставлять пять тысяча какой-то удовлетворение обслуживание прием получать хотя вкусно красиво подавать украшать обслуживание	positive	positive	negative	both	both
21716	проводить торжество март год ресторан " горка " общаться менеджер екатерина отвечать весь вопрос многое идти встреча договаривать сделать спасибо огромный обслуживание вполне довольный минус дважды посещать ресторан заказывать еда очень вкусный банкет кухня весьма обычный сделать запоминаться взгляд взгляд многий гость горячее именно шашлык свинина лосось сделать очень мягко сочно следующий день торжество вспомнить стол фрукт хотя вносить договор соответственно оплачивать уважаемый посетитель следить весь заказывать приносить ребенок время банкет кормить специальный детский меню однако день повар подумать слово официант ), приносить заказывать ребенок еда нужно основной блюдо весь гость это примерно час начало мероприятие ребеночек сидеть голодный смотреть сторона несколько час это нормально ?! обращение менеджер сразу приготавливать подавать поэтому уточнять это сразу официант	positive	absence	absence	both	both
5077	сегодня обедать фартук вдвоем муж сайт отзыв заранее читать иначе мочь выбирать место рад зайти именно кухня вкусно недорого порция небольшой самый хлебный тарелка четыре горячий булочка чесночный масло обалдение домашние лимонад фруктовый молочный коктейль насчет карта вино сказать пить интерьер написать полностью соответствовать фото изыск уютно столик мало подходить встреча друг обед прогулка романтический вечер скоро хороший вариант сервис чудесно вообще редко довольный сервис быстро принимать заказ быстро приготавливать очень милый простой девушка давать совет меню легко общаться клиент рассчитать быстро советовать	positive	positive	positive	positive	positive
32771	добрый день праздновать день рождение середина ноябрь ноябрь пятница пять человек столик забронировать заранее также холодный закуска горячий закуска напиток приходить готовый выбирать ресторан достаточно долго очень хотеться отпраздновать день рождение хороший грузинский ресторан просматривать вариант прочитывать достаточно отзыв интернет останавливаться ресторан " кэт " это здорово очень уютный небольшой ресторан интерьер спокойный теплый цвет очень милый столик немного очень вежливый приятный персонал обслуживать молодой человек сожаление имя помнить высокий уровень !! кухня изумительный гость очень понравиться живой музыка очень танцевать по-моему мнение самый активный самый шумный план )))) очень хотеться танцевать т певец исполнять очень хороший песня невозможно усиживать вообщий очень довольный день рождение отправздновать ресторан " кэт " впечатление гость оставаться замечательный !!! советовать посещать ресторан ))) удовольствие прийти кухня интерьер сервис P S спасибо весь команда ресторан !!! очень очень замечательно !!!!	positive	positive	absence	absence	positive
